tema,bidder,bid
乙女,111051040,80
二次元,110051001,260
明星,110051044,150
卡牌,110051121,120
直播,110051087,50
戰後,110051027,80
四愛（意思是女攻男受（女性強勢，男性弱勢）的愛情模式）,110051024,12
BL,110051030,300
GL,111051039,190
修真,111051039,100
ABO,110051047,270
現代,110051004,200
異世界,111051018,60
農家樂（專注於資源管理遊戲／農場概念）,111051089,50
學員大逃殺,110051123,140
學校,111051041,35
變裝,111051064,100
義賊（遵循俠義風範的盜賊，通常伴隨著＂劫富濟貧＂）,110051048,50
天災,110051121,102
天空,111051074,50
天堂,110051024,48
文明,110051050,150
月球,110051044,100
地獄,110051061,20
星空,110051078,80
凋零,111051089,50
水,111051005,50
中毒,111051025,101
四元素,110051078,100
自然,110051050,150
治療,112051072,100
迷幻蘑菇,111051014,78
閃電,111051089,33
動物,110051121,120
細胞,110051066,40
種菜,111051039,88
未來,110051129,50
末世,111051015,300
生命樹,111051014,78
人造人,111051025,100
沒有陽光,110051023,195
延續生命值,110051123,140
反烏托邦,111051015,200
科技,110051087,40
模擬,110051062,105
多重角色（玩家在不同視角切換以發現線索和完成任務）,110051050,150
有神論,110051030,400
沉浸式,111051015,300
蒐集,110051062,100
模擬現實（通過電腦實現和真正的現實無法區別開來的仿真）,111051018,60
戰鬥,111051014,78
考試,111051064,100
外送,110051005,150
食物,110051005,200
射擊,110051005,150
料理,110051005,200
畢業,110051123,135
童話故事,110051062,105
戀愛的,110051044,100
亞洲大學,110051123,135
餐廳,108051731,20
自殺,110051049,21
抑鬱,110051049,31
情感變成商品可用來交易,111051039,100
藥物成癮,110051030,300
特殊符號,110051006,70
解謎,111051074,55
恐怖驚悚,110051049,51
情報,110051049,1
詛咒,110051049,51
黑暗,111051089,47
傳染,110051066,40
骰子,110051023,195
